plant_visited,genus,family,status,CommonName,
Achillea sp.,Achillea,Asteraceae,native,Yarrow,
Aeonium sp.,Aeonium,Crassulaceae,not native,,
Aloysia citrodora,Aloysia,Verbenaceae,not native,,
Anagallis avernsis,Anagallis,Primulaceae,not native,,
Celery,Apium,Apiaceae,food plant: not native,Celery,
Asclepias sp.,Asclepias,Apocynaceae,native,,
Borago officinalis,Borago,Boraginaceae,not native,,
Borago sp.,Borago,Boraginaceae,not native,,
Brassica oleracea cultivar,Brassica,Brassicaeae,food plant: not native,,
Calendula officinalis,Calendula,Asteraceae,not native,,
Calendula sp.,Calendula,Asteraceae,not native,,
Ceanothus sp.,Ceanothus,Rhamnaceae,native,,
Centaurea cyanus,Centaurea,Asteraceae,not native,,
Centaurea sp.,Centaurea,Asteraceae,not native,,
Cistus creticus,Cistus,Cistaceae,not native,,
Citrus sp.,Citrus,Aurantioideae,food plant: not native,,
Coreopsis sp.,Coreopsis,Asteraceae,not native,,
Cosmos,Cosmos,Coreopsideae,not native,,
Artichoke,Cynara,Asteraceae,food plant: not native,,
Diplotaxis tenuifolia,Diplotaxis,Brassicaeae,not native,,
Eriogonum fassciculatum,Eriogonum,Polygonaceae,native,California buckwheat,
Eriogonum sp.,Eriogonum,Polygonaceae,native,,
Eriophyllum confertiflorum,Eriophyllum,Asteraceae,native,Golden Yarrow,
Eruca sativa,Eruca,Brassicaeae,not native,,
Eruca sp.,Eruca,Brassicaeae,not native,,
Eschscholzia californica,Eschscholzia,Papaveraceae,native,California poppy,
Gaillardia pulchella,Gaillardia,Asteraceae,not native,,
Geranium sp.,Geranium,Geraniaceae,not native,,
Lavandula sp.,Lavandula,Lamiaceae,not native,,
Lavandula stoechas,Lavandula,Lamiaceae,not native,,
Lobularia maritima,Lobularia,Brassicaeae,not native,,
Malacothamnus palmeri,Malacothamnus,Malvaceae,native,,
Malacothamnus sp.,Malacothamnus,Malvaceae,native,,
Malva sp.,Malva,Malvaceae,,,native at sbbg
Medicago polymorpha,Medicago,Fabaceae,not native,,
Mentha sp.,Mentha,Lamiaceae,not native,,
Nasturtium sp.,Nasturtium,Tropaeolaceae,not native,,
Ocimum kilimandscharicum x basilicum 'Dark Opal',Ocimum,Lamiaceae,food plant: not native,,
Ocimum sp.,Ocimum,Lamiaceae,food plant: not native,,
Oenothera lindheimeri,Oenothera,Onagraceae,not native,,
Oxalis stricta,Oxalis,Oxalidaceae,not native,,
Passiflora sp.,Passiflora,Passifloraceae,food plant: not native,,
Phacelia sp.,Phacelia,Boraginaceae,native,,
Pomegranate sp.,Punica,Lythraceae,food plant: not native,,
Primula sp.,Primula,Primulaceae,native,,
Prunus ilicifolia,Prunus,Rosaceae,native,,
Prunus persica 'May Flower Peach',Prunus,Rosaceae,food plant: not native,,
Prunus salicina,Prunus,Rosaceae,food plant: not native,,
Prunus sp. 'Flavor King Pluot',Prunus,Rosaceae,food plant: not native,,
R + W Sage,Salvia,Lamiaceae,,,
Salvia 'Bon Bon',Salvia,Lamiaceae,native,Cleveland sage cultivar x Purple sage cultivar,
Salvia azurea,Salvia,Lamiaceae,not native,Azure blue sage,
Salvia canariensis,Salvia,Lamiaceae,not native,Canary Island sage,
Salvia leucantha,Salvia,Lamiaceae,not native,Mexican bush sage,
Salvia leucophylla,Salvia,Lamiaceae,native,Purple sage,
"Salvia leucophylla ""Amythest Bluff""",Salvia,Lamiaceae,native,Purple sage (cultivar),
Salvia mellifera,Salvia,Lamiaceae,native,Black sage,
Salvia microphylla,Salvia,Lamiaceae,not native,Baby sage,
Salvia rosmarinus,Salvia,Lamiaceae,not native,Rosemary,
Salvia sp.,Salvia,Lamiaceae,,,native at sbbg
Salvia spathacea,Salvia,Lamiaceae,native,Hummingbird sage,
Sedum sp.,Sedum,Crassulaceae,,,
Sisyrinchium bellum,Sisyrinchium,Iridaceae,native,Blue-eyed Grass,
Tagetes sp.,Tagetes,Asteraceae,not native,,
Tropaleolum sp.,Tropaleolum,Tropaeolaceae,not native,,
Vicia faba,Vicia,Fabaceae,food plant: not native,Fava Beans,
Fabacaeae,,Fabaceae,,,
Guava,,Myrtaceae,food plant: not native,Guava,
Poppy,,Papavaceae,,,
Squash,,Cucurbiteae,food plant: not native,Squash,
Unkown Purple,,,,,
Zinnias,,Asteraceae,not native,,
Lycianthes sp.,Lycianthes,Solanaceae,not native,,
Ocimum kilimandscharicum x basilicum,Ocimum,Lamiaceae,food plant: not native,,
Senna sp.,Senna,Fabaceae,not native,,
Prunus persica  ,Prunus,Rosaceae,food plant: not native,,
Prunus sp. 'Pluot',Prunus,Rosaceae,food plant: not native,,
Lathyrus odoratus,Lathyrus,Fabaceae,not native,,
Eriogonum fasiculatum ,Eriogonum,Polygonaceae,native,,
Romneya sp. ,Romneya,Papaveraceae,native,,
Prunus ilicifolia ssp. lyonii,Prunus,Rosaceae,native,,
Cudweed,,Asteraceae,native,,
