site,date,month,year,observer,garden_fls_bin,garden_percov_natives,garden_native_taxa_flwrng,garden_native_bin,garden_native_flwrs,transects_num_flwrng_taxa,transect_num_fls_UNITadjustment,transect_num_nativeflwr_plants,transect_fl_plant,per_cov_fl_taxa,fl_units_count,fl_unit,calculated_flwrs
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Sisyrinchium bellum,13,340,flower,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Salvia mellifera,4,80,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Eriogonum fasiculatum,1,4,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Salvia leucophylla,13,155,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Phacelia sp.,2,100,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Salvia 'Bon Bon',7,200,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Eriophyllum confertiflorum,1,35,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Eschscholzia california,1,1,Flower,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Ceanothus sp.,1,35,Inflorescence,340
SBBG,3/18/2022,3,2022,Xan,4,100,13,4,3456,10,3456,10,Salvia brandegeei x munzi,1,14,Inflorescence,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Calendula,40,1400,Flower,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Prunus sp.,3,1,Flower,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Tropaeolum sp.,1,235,Flower,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Prunus sp.,1,40,Flower,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Eschscholzia california,1,30,Flower,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Lavandula stoechas,4,260,Inflorescence,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Ceanothus sp.,12,250,Inflorescence,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Pisum sp.,1,4,Flower,340
Mesa Harmony,3/23/2022,3,2022,Xan,4,3,3,1,1250,9,4267,2,Punica sp.,1,7,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Anagallis avernsis,1,15,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Calendula sp.,1,13,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Oxalis sp.,1,17,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Malva sp.,1,46,Flower,340
Brad,3/30/2022,3,2022,Xan,4,1,2,2,81,15,1360,2,Eschscholzia california,1,1,Flower,340
