site,date,observer,transect,start_time,end_time,temp_C,wind,wind2,sky,floral_visitor_ID,MoreSpecificID,plant_visiting,num_individuals ,notes,temp_F,month,year,temp_Crounded
SBCC,3/5/2021,Gaby,1,1005,1010,16,0,,clear,HB,Apis mellifera,Borago officinalis,6,,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1005,1010,16,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,4,Ocimum kilimandscharicum x basilicum 'Dark Opal',61,3,2021,16
SBCC,3/5/2021,Gaby,1,1005,1010,16,0,,clear,Beetle,Coleoptera,Calendula sp.,1,,61,3,2021,16
SBCC,3/5/2021,Gaby,2,1013,1018,16,0,,clear,Bumble,,Salvia canariensis,1,,61,3,2021,16
SBCC,3/5/2021,Gaby,2,1013,1018,16,0,,clear,HB,Apis mellifera,Salvia leucophylla,5,,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,Bumble,,Ceanothus sp.,1,Also visited borage,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,HB,Apis mellifera,Ceanothus sp.,7,,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,HB,Apis mellifera,Borago officinalis,2,,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,2,Ocimum kilimandscharicum x basilicum 'Dark Opal',61,3,2021,16
SBCC,3/5/2021,Gaby,4,1029,1034,16,0,,clear,HB,Apis mellifera,Salvia rosmarinus,1,,61,3,2021,16
SBCC,3/5/2021,Gaby,4,1029,1034,16,0,,clear,HB,Apis mellifera,Prunus ilicifolia ssp. lyonii,1,,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,Bumble,,Borago officinalis,1,,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,HB,Apis mellifera,Borago officinalis,5,,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,Beetle,,Calendula sp.,1,Resting on the petal,61,3,2021,16
SBCC,3/5/2021,Gaby,2,1044,1049,16,0,,clear,HB,Apis mellifera,Salvia leucophylla,6,,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1051,1056,16,0,,clear,HB,Apis mellifera,Borago officinalis,3,,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1051,1056,16,0,,clear,HB,Apis mellifera,Ceanothus sp.,5,,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1051,1056,16,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,4,Ocimum kilimandscharicum x basilicum 'Dark Opal',61,3,2021,16
SBCC,3/5/2021,Gaby,4,1051,1102,16,0,,clear,HB,Apis mellifera,Salvia rosmarinus,1,,61,3,2021,16
SBCC,3/5/2021,Gaby,4,1051,1102,,0,,clear,HB,Apis mellifera,Prunus ilicifolia ssp. lyonii,2,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,17,0,,clear,HB,Apis mellifera,Lavandula stoechas,1,,63,3,2021,17
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,,0,,clear,HB,Apis mellifera,Prunus persica,1,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,,0,,clear,HB,Apis mellifera,Calendula sp.,2,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1131,1141,,0,,clear,Fly,Syrphid,Ceanothus sp.,1,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1145,1155,,0,,clear,HB,Apis mellifera,Salvia rosmarinus,15,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1145,1155,,0,,clear,HB,Apis mellifera,Prunus salicina,1,Visited as soon as time ran out,,3,2021,
Mesa Harmony,3/5/2021,Gaby,1,1156,1206,,0,,clear,HB,Apis mellifera,Lavandula stoechas,2,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1212,1222,18,0,,clear,HB,Apis mellifera,Salvia rosmarinus,13,,64,3,2021,18
Mesa Harmony,3/5/2021,Gaby,2,1212,1222,,0,,clear,HB,Apis mellifera,Calendula sp.,1,,,3,2021,
Mesa Harmony,3/5/2021,Gaby,2,1212,1222,,0,,clear,HB,Apis mellifera,Prunus salicina,1,,,3,2021,
La Cumbre,3/12/2021,Gaby,1,1020,1027,13,1,,clear,HB,Apis mellifera,Lobularia maritima,1,,56,3,2021,13
La Cumbre,3/12/2021,Gaby,1,1020,1027,,1,,clear,Fly,,Lobularia maritima,1,,,3,2021,
La Cumbre,3/12/2021,Gaby,2,1029,1038,,1,,clear,Fly,,Calendula sp.,1,,,3,2021,
La Cumbre,3/12/2021,Gaby,3,1040,1045,,1,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum,1,Ocimum kilimandscharicum x basilicum 'Dark Opal',,3,2021,
La Cumbre,3/12/2021,Gaby,1,1048,1054,,1,,clear,Fly,,Calendula sp.,1,,,3,2021,
