site,date,observer,transect,start_time,end_time,temp_C,wind,wind2,sky,floral_visitor_ID,MoreSpecificID,plant_visiting,num_individuals ,notes,associated_media,Cells to the right autofill; don't enter data,temp_F,month,year,temp_Crounded
SBCC,3/5/2021,Gaby,1,1005,1010,16,0,,clear,HB,Apis mellifera,Borago officinalis,6,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1005,1010,16,0,,clear,HB,Apis mellifera,Ocimum kilimandscharicum x basilicum ,4,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1005,1010,16,0,,clear,Beetle,Coleoptera,Calendula sp.,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,2,1013,1018,16,0,,clear,Bumble,,Salvia canariensis,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,2,1013,1018,16,0,,clear,HB,,Salvia leucophylla,5,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,Bumble,,Ceanothus sp.,1,Also visited borage,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,HB,,Ceanothus sp.,7,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,HB,,Borago officinalis,2,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1021,1026,16,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,2,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,4,1029,1034,16,0,,clear,HB,,Salvia rosmarinus,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,4,1029,1034,16,0,,clear,HB,,Prunus ilicifolia ssp. lyonii,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,Bumble,,Borago officinalis,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,HB,,Borago officinalis,5,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,3,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,1,1038,1043,16,0,,clear,Beetle,,Calendula sp.,1,Resting on the petal,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,2,1044,1049,16,0,,clear,HB,,Salvia leucophylla,6,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1051,1056,16,0,,clear,HB,,Borago officinalis,3,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1051,1056,16,0,,clear,HB,,Ceanothus sp.,5,,,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,3,1051,1056,16,0,,clear,HB,,Ocimum kilimandscharicum x basilicum ,4,Ocimum kilimandscharicum x basilicum 'Dark Opal',,Cells to the right autofill; don't enter data,61,3,2021,16
SBCC,3/5/2021,Gaby,4,1051,1102,16,0,,clear,HB,,Salvia rosmarinus,1,,,Cells to the right autofill; don't enter data,61,3,2021,16
