site,month,year,date,observer,transect,start_time,end_time,weather,wind,sky,floral_visitor_ID,More Specific ID?,plant_visiting ,num_individuals ,notes,associated_media
SBCC,3,2021,3/5/2021,Gaby,1,1005,1010,61,0,clear,HB,,Borage,6,,
SBCC,3,2021,3/5/2021,Gaby,1,1005,1010,61,0,clear,HB,,Blue basil,4,,
SBCC,3,2021,3/5/2021,Gaby,1,1005,1010,61,0,clear,Beetle,,Calendula,1,,
SBCC,3,2021,3/5/2021,Gaby,2,1013,1018,61,0,clear,Bumble,,Canary Island Sage,1,,
SBCC,3,2021,3/5/2021,Gaby,2,1013,1018,61,0,clear,HB,,Purple Sage,5,,
SBCC,3,2021,3/5/2021,Gaby,3,1021,1026,61,0,clear,Bumble,,Ceanothus,1,Also visited borage,
SBCC,3,2021,3/5/2021,Gaby,3,1021,1026,61,0,clear,HB,,Ceanothus,7,,
SBCC,3,2021,3/5/2021,Gaby,3,1021,1026,61,0,clear,HB,,Borage,2,,
SBCC,3,2021,3/5/2021,Gaby,3,1021,1026,61,0,clear,HB,,Blue basil,2,,
SBCC,3,2021,3/5/2021,Gaby,4,1029,1034,61,0,clear,HB,,Rosemary,1,,
SBCC,3,2021,3/5/2021,Gaby,4,1029,1034,61,0,clear,HB,,Catalina Cherry,1,,
SBCC,3,2021,3/5/2021,Gaby,1,1038,1043,61,0,clear,Bumble,,Borage,1,,
SBCC,3,2021,3/5/2021,Gaby,1,1038,1043,61,0,clear,HB,,Borage,5,,
SBCC,3,2021,3/5/2021,Gaby,1,1038,1043,61,0,clear,HB,,Blue basil,3,,
SBCC,3,2021,3/5/2021,Gaby,1,1038,1043,61,0,clear,Beetle,,Calendula,1,Resting on the petal,
SBCC,3,2021,3/5/2021,Gaby,2,1044,1049,61,0,clear,HB,,Purple Sage,6,,
SBCC,3,2021,3/5/2021,Gaby,3,1051,1056,61,0,clear,HB,,Borage,3,,
SBCC,3,2021,3/5/2021,Gaby,3,1051,1056,61,0,clear,HB,,Ceanothus,5,,
SBCC,3,2021,3/5/2021,Gaby,3,1051,1056,61,0,clear,HB,,Blue basil,4,,
SBCC,3,2021,3/5/2021,Gaby,4,1051,1102,61,0,clear,HB,,Rosemary,1,,
SBCC,3,2021,3/5/2021,Gaby,4,1051,1102,,0,clear,HB,,Catalina Cherry,2,,
Mesa,3,2021,3/5/2021,Gaby,1,1131,1141,63,0,clear,HB,,Lavender ,1,,
Mesa,3,2021,3/5/2021,Gaby,1,1131,1141,,0,clear,HB,,Peach tree,1,,
Mesa,3,2021,3/5/2021,Gaby,1,1131,1141,,0,clear,HB,,Calendula,2,,
