site,floral_visitor_ID,total,num_rows,num_visits,Avg_visits
Brad,Bumble,1,1,9,0.1111111111111111
Brad,Carpenter,2,2,9,0.2222222222222222
Brad,Fly,20,12,9,2.2222222222222223
Brad,Green Sweat Bee,2,2,9,0.2222222222222222
Brad,HB,28,21,9,3.111111111111111
Brad,SDB,9,5,9,1
Brad,SSB,10,9,9,1.1111111111111112
Brad,Wasp,1,1,9,0.1111111111111111
La Cumbre,Bug,1,1,9,0.1111111111111111
La Cumbre,Bumble,7,6,9,0.7777777777777778
La Cumbre,Fly,29,27,9,3.2222222222222223
La Cumbre,Green Sweat Bee,2,2,9,0.2222222222222222
La Cumbre,HB,233,103,9,25.88888888888889
La Cumbre,HLB,1,1,9,0.1111111111111111
La Cumbre,MHBB,1,1,9,0.1111111111111111
La Cumbre,SDB,2,2,9,0.2222222222222222
La Cumbre,SHBB,9,7,9,1
La Cumbre,SSB,10,7,9,1.1111111111111112
Mesa,Bumble,5,5,11,0.45454545454545453
Mesa,Carpenter,1,1,11,0.09090909090909091
Mesa,Fly,23,18,11,2.090909090909091
Mesa,Green Sweat Bee,1,1,11,0.09090909090909091
Mesa,HB,229,88,11,20.818181818181817
Mesa,HLB,4,4,11,0.36363636363636365
Mesa,SDB,1,1,11,0.09090909090909091
Mesa,SHBB,3,3,11,0.2727272727272727
Mesa,SSB,2,2,11,0.18181818181818182
SBBG,Bug,4,4,6,0.6666666666666666
SBBG,Bumble,10,7,6,1.6666666666666667
SBBG,Fly,17,7,6,2.8333333333333335
SBBG,Green Sweat Bee,6,6,6,1
SBBG,HB,261,39,6,43.5
SBBG,HLB,22,11,6,3.6666666666666665
SBBG,MHBB,8,7,6,1.3333333333333333
SBBG,SDB,25,11,6,4.166666666666667
SBBG,SHBB,23,12,6,3.8333333333333335
SBBG,SSB,30,15,6,5
SBBG,Wasp,6,6,6,1
SBCC,Beetle,2,2,10,0.2
SBCC,Bug,2,2,10,0.2
SBCC,Bumble,46,29,10,4.6
SBCC,Carpenter,4,3,10,0.4
SBCC,Fly,45,17,10,4.5
SBCC,HB,554,122,10,55.4
SBCC,Hummingbird,1,1,10,0.1
SBCC,MHBB,1,1,10,0.1
SBCC,Moth/Butterfly,1,1,10,0.1
SBCC,SHBB,2,2,10,0.2
SBCC,SSB,3,3,10,0.3
